# key and value surrounded with ""; separator between them is ignored; limited support for escaping characters
"Aalgaard", "Algard"
"Aatvidaberg", "Atvidabergs"
" Akademia"," Academia"
"AL Asyooti","Alasyoty"
"Atl ","Atletico "
"Blektini", "Blekitni"
"B Munich","Bayern Munich"
"Bucharest", "Bucuresti"
"Chayka", "Chaika"
"Cloppenberg", "Cloppenburg"
"Cologne", "Koln"
"Crvena Zvezda", "Red Star"
"Dneprodzerzhinsk", "Dnipropetrovsk"
"Dupnica", "Dupnitsa"
"Dynamo", "Dinamo"
"El Geish", "El Gaish"
"Fujirah", "Fujairah"
"Gelios", "Helios"
"Girnik ","Hirnyk "
"Gothenburg", "Goteborg"
"Grozny", "Grozni"
"Hacoah","Hakoah"
"Holland","Netherlands"
"Hoverla", "Goverla"
"Illychivets","Illichivets"
"Jammerbught", "Jammerbugt"
" Jrs", " Juniors"
"Kharaityat", "Kharitiyath"
"Khoor", "Khor"
"Kobenhavn","Copenhagen"
"Liteks", "Litex"
"Lovech", "Lovetch"
"Maghrib ","Maghreb "
"Marrakech","Marrakesh"
"M gladbach", "Mgladbach"
"Misr Lel", "Misr El"
"Monchengladbach", "Mgladbach"
"Mordovia", "Mordoviya"
"Munich","Munchen"
"Naftovyk","Naftovik"
"Naumme ","Nomme "
"Nottm ", "Nottingham "
"Nurnberg", "Nuremberg"
"Odesa", "Odessa"
"Olympiakos", "Olympiacos"
" Praha"," Prague"
"Puskas Academia","Puskas Ferenc Akademia"
"Shuqura", "Shukura"
"Sumgayit", "Sumqayit"
"Taarnby", "Tarnby"
"Turin", "Torino"
" Utd", " United"
"Veroia", "Veria"
