# key and value surrounded with ""; separator between them is ignored; limited support for escaping characters
"AaB", "AaB Aalborg BK"
"AB", "AB Copenhagen"
"ABC","Abc RN"
"ACS Glora Popesti","ACS Glora Popesti Leordeni"
"ACS Viitorul Municipal","ACS Viitorul Municipal Craiova"
"ACSVM CRAIOVA","ACS Viitorul Municipal Craiova"
"Ac Viseu", "Academico de Viseu"
"Admira Wacker","Trenkwalder Admira Wacker Modling"
"AD UCR", "Universidad de Costa Rica"
"AD Union Magdalena","Asociacion Deportiva Union Magdalena Santa Marta"
"AEK","AEK Athens"
"A E L", "AEL Limassol"
"AFC FP Bucuresti","AFC Fair Play Bucuresti"
"AFC Utd","Athletic Utd"
"AGF","AGF Aarhus"
"AGF Fodbold","AGF Aarhus"
"Aguilas Doradas","Aguilas Doradas Pereira"
"Ahi Nazareth","Maccabi Ahi Nazareth"
"Ahli Al Fujirah","Al Fujairah Sport Club"
"Al Fujairah","Al Fujairah Sport Club"
"A Indonesia","Arema Cronus Indonesia"
"Alania D","Alania d Vladikavkaz"
"Alaniya Vladikavkaz","Alania d Vladikavkaz"
"Al Hadd","Al Hidd"
"Al Kharitiyath","Al Kharaitiyat"
"Al Kharitiyath SC","Al Kharaitiyat SC"
"Al Khuraitiat","Al Kharaitiyat"
"Almagro BA","Club Almagro BA"
"Al Manama","Al Manama Club"
"Al Mokawloon Al Arab","Arab Contractors Sporting Club"
"Al Moqawloon","Arab Contractors Sporting Club"
"Al Rifaa","Al Riffa"
"Alro Slatina","Olt Slatina"
"Americana SP","Guaratingueta"
"America RN","America Natal RN"
"Andijon","Andijan"
"anorga kke","Anorga Kirol eta Kultur Elkartea"
"AOK Kerkyra", "AOK Kassiopi Kerkyra"
"AOT Alimos","AO Trachones Alimos"
"AO Trachonon","AO Trachones Alimos"
"APOEL U19","Apoel Nicosia U19"
"Apollon 1926", "Apollon Kalamarias"
"Arema Cronus","Arema Cronus Indonesia"
"Ar Tula", "Arsenal Tula"
"AS Marsa","Avenir Sportif de La Marsa"
"ASO CHIEF","ASO Chlef"
"Ass Portuguesa","Associacao Portuguesa de Desportos"
"Atletico Linense","Atletico Linense SP"
"Atletico MG","Clube Atletico Mineiro"
"Atletico PR","Clube Atletico Paranaense"
"Atletico Reguengos", "Atletico Reguengos Monsaraz"
"Atl Tucuman", "Atletico Tucuman"
"Aue", "Erzgebirge Aue"
"Avedore IF","Avedore Idraetsforening"
"Avenir Marsa","Avenir Sportif de La Marsa"
"Avenir S Marsa","Avenir Sportif de La Marsa"
"Avispa F", "Avispa Fukuoka"
"Ayr","Ayr United"
"AZAL Baku","Azal PFK Baku"
"Azal PFC Baku","Azal PFK Baku"
"B 1908","Boldklubben 1908"
"B93","Boldklubben AF 1893 Copenhagen"
"B 93 Copenhagen","Boldklubben AF 1893 Copenhagen"
"Bahia","Bahia Salvador"
"Balmazujvarosi","Balmazujvarosi Sport Kft"
"Bani Yas","Baniyas SC"
"Bayburt Grup IOI","Bayburt Grup Il Ozel Idare Genclik"
"Bayburt Grup Ozel Idare Genclik VE Spor","Bayburt Grup Il Ozel Idare Genclik"
"Bayer Leverkusen","Bayer 04 Leverkusen"
